,infected_comment,post
857,fm4p7p6,fsydfz
858,flmdk9x,fppuzh
859,fl4xkrx,fmapou
860,flb1j3g,fnmvum
861,fl7l7ll,fn1t2c
862,flmwt2c,fpqwzw
863,flou22f,fq2jww
864,fl6co80,fmrz8h
865,fm9267f,ftn6o1
866,flr0hc0,fqguhs
867,flxaja0,frpa8x
868,flfz7t6,fok4nl
869,fnpbv2t,g35rwp
870,flcrk01,fnypj2
871,fnbc5es,g0mn0k
872,fmiri7q,fvfhiy
873,fmcnp6w,fubn0h
874,fld5dk2,fnz6lg
875,flvqo7k,frgwzm
876,fnlnoe5,g2imhp
877,flr5nqz,fpfzcb
878,fmkuyz7,fvspqw
879,fmb2rdv,fu7gig
880,flw4dzz,frh5we
881,fn7ru7x,g01vpf
882,flur0ks,fraufi
883,fmy45mc,fy3qj2
884,flcta1b,fnye76
885,flppr13,fq2jww
886,flwj79j,friouc
887,fm5d319,ft0ahp
888,flukwqk,fr5w89
889,fl55rhr,fmo311
890,fn89djk,g03bcx
891,flfd0u3,fofxko
892,fmsp16h,fwis56
893,fliskh2,foy5s3
894,fltpavx,fr36mn
895,fm06ikj,fs58en
896,fn11j9c,fyiyju
897,fl6wsie,fmrl1f
898,fm08nox,fs68an
899,flebpbg,foboo8
900,flax16g,fnk6o5
901,flksl4n,fpf2lh
902,fnlpdju,g2cn8m
903,fmr7br9,fvc21n
904,fluiz9p,fr44jv
905,fmy3qg1,fy38be
906,fnmuvzm,g2p9zx
907,fmitsuk,fvgv04
908,fn8mwqc,g03md6
909,fnduotu,g12cgy
910,fn76qa1,fxg6kn
911,fnj7kx7,g1yke3
912,flnukk2,fpv2s3
913,fnfvp89,g1fzei
914,fl72uxv,fm5k7j
915,floe2uk,fq0dmw
916,flgs2ao,fop5f4
917,fn6lrtk,fztqr7
918,fluwd9a,fr8fj3
919,fn3dogc,fz321x
920,flnurqn,fpvti0
921,fmpe0e9,fwgbsb
922,flu7cfs,fr4glj
923,flh4nuo,fojcue
